X,...1.y,targets,target.id,target.class,drug_id,Name,Synonyms,Targets,Target.pathway,Targets2,PubCHEM,Sample.Size,Count,X,X.1,development
AEW541,88,Insulin receptor,P06213,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
AG-014699,89,NA,NA,NA,1175,Rucaparib,"PF-01367338, AG-014699, AG-14447, AG-14699","PARP1, PARP2",Genome integrity,"PARP1, PARP2",9931953,GDSC1,942,SANGER,495,nd
AGK-2,91,Sirtuin,Q8IXJ6,Carbon-nitrogen hydrolase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
AICAR,92,Phosphoribosylaminoimidazolecarboxamide formyltransferase,P31939,Methyltransferase superfamily,1001,AICA Ribonucleotide,"AICAR, N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide",AMPK agonist,Metabolism,AMPK agonist,65110,GDSC1,941,SANGER,495,nd
AKT inhibitor VIII,93,RAC serine/threonine-protein kinase;AKT3 protein kinase;BCAM-AKT2 fusion gene,P31749;Q9Y243;P31751,Kinase,228,AKT inhibitor VIII,"Akti-1/2, KIN001-102",AKT,PI3K/MTOR signaling,AKT,10196499,GDSC1,920,MGH,495,nd
AM-580,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
AMG-706,98,NA,NA,NA,1029,Motesanib,"AMG-706, AMG 706, AMG706","VEGFR, RET, KIT, PDGFR",RTK signaling,"VEGFR, RET, KIT, PDGFR",11667893,GDSC1,943,SANGER,495,nd
AP-24534,99,NA,NA,NA,155,Ponatinib,"AP24534, AP-24534, KIN001-192, Iclusig","ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases","ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3",24826799,GDSC1,885,MGH,495,nd
apicidin,100,Histone deacetylase,NA,Carbon-nitrogen hydrolase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
AS601245,103,Glycogen synthase kinase-3 beta;Mitogen-activated protein kinase 8;Mitogen-activated protein kinase 10;mRNA of human Jun-N-terminal kinase-2 (JNK2),P49841;P45983;P53779;P45984,Kinase,207,AS601245,NA,"JNK1, JNK2, JNK2",JNK and p38 signaling,"JNK1, JNK2, JNK2",10109823,GDSC1,878,MGH,495,nd
AS605240,104,Amine oxidase [flavin-containing] B,P27338,Oxidoreductases acting on CH-NH2 group of donors,224,AS605240,"KIN001-173, AS-605240",PI3Kgamma,PI3K/MTOR signaling,PI3K,5289247,GDSC1,916,MGH,495,nd
AT13387,107,Heat shock protein HSP 90,P07900,Heat shock protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
AT7867,108,NA,NA,NA,356,AT7867,NA,AKT,PI3K/MTOR signaling,AKT,NA,GDSC1,926,MGH,495,nd
ATRA,109,Coagulation factor Xa;Coagulation factor IIa;Plasminogen;Endothelin-1 receptor;Alpha-1A adrenergic receptor;Neuronal acetylcholinereceptor subunit alpha-2;Sodium/glucose cotransporter 1;Voltage-gated sodium channel subunit alpha Nav1.7;Voltage-gated sodium channel subunit alpha Nav1.8;Sodium channel protein type 5 subunit alpha;Voltage-gated sodium channel subunit alpha Nav1.3;Trypsin;Sodium channel protein type 4 subunit alpha;Adenine nucleotide translocator 1;mRNA of sodium-glucosetransporter-2;Nicotinic acetylcholine receptor;SCN8A sodium channel subunit;mRNA of SCN1A;Dopamine reuptake;Sodium channel protein type 2 subunit alpha;Cholinergic receptor,P00742;P00734;P00747;P25101;P35348;Q15822;P13866;Q15858;Q9Y5Y9;Q14524;Q9NY46;P07477;P35499;P12235;P31639;Q9UQD0;P35498;Q99250,Peptidase,1009,Tretinoin,"ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita",Retinoic acid,Other,Retinoic acid,444795,GDSC1,939,SANGER,495,nd
austocystin d,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
AUY922,111,Heat shock protein HSP90,NA,NA,1559,Luminespib,"AUY922, VER-52296,NVP-AUY922,  AUY",HSP90,Protein stability and degradation,HSP90,10096043,GDSC2,805,SANGER,495,nd
avicin D,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
avrainvillamide,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
AZ-3146,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
AZ628,116,B-Raf proto-oncogene serine/threonine-protein kinase,P15056,Kinase,29,AZ628,"AZ-628, AZ 628",BRAF,ERK MAPK signaling,BRAF,11676786,GDSC1,403,MGH,495,nd
AZD-2281,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
AZD-7545,118,Pyruvate dehydrogenase kinase isoform 2 (PDHK2),Q15119,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
AZD0530,119,Proto-oncogene tyrosine-protein kinase SRC;Proto-oncogene c-Abl,P12931;P00519,Kinase,38,Saracatinib,"AZD0530, AZD-0530, AZ-10353926","ABL, SRC","Other, kinases","ABL, SRC",10302451,GDSC1,408,MGH,495,nd
AZD6244,122,MEK protein kinase,NA,Kinase,1498,Selumetinib,"AZD6244, AZD-6244, ARRY-886","MEK1, MEK2",ERK MAPK signaling,"MEK1, MEK2",10127622,GDSC1,921,SANGER,495,nd
B02,126,mRNA of RAF proto-oncogene serine/threonine-protein kinase;Cannabinoid receptor 1;mRNA of B-Raf;Granulocyte-macrophage colony-stimulating factor;Phosphodiesterase (PDE);Heat shock protein HSP90,P04049;P21554;P15056;P04141;P22413,Target of antisense drug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
bafilomycin A1,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
barasertib,129,Aurora protein kinase;Aurora kinase B,NA,Kinase,NA,NA,NA,"AURKA, AURKB",Mitosis,"AURKA, AURKB",NA,NA,NA,NA,NA,nd
bardoxolone methyl,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Bax channel blocker,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BAY 61-3606,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BCL-LZH-4,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BEC,134,Beta platelet-derived growth factor receptor;Toposisomerase-1;Glutamate receptor AMPA subtype;GABA A receptor;Fungal Cytochrome P450 51;mRNA of BCL-2;Beta-secretase;Steroid hormone receptor;Heat shock protein HSP90,P09619;P11387;P14867||P47869||P47870;Q99928;P10613;P10415,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
betulinic acid,136,"Glycogen phosphorylase, muscle form;DNA polymerase",P11217;P04293,Hexosyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BHG712,138,NA,NA,NA,295,NVP-BHG712,BHG712,EPHB4,RTK signaling,EPHB4,16747388,GDSC1,919,MGH,495,nd
BI-2536,139,NA,NA,NA,1086,BI-2536,NA,"PLK1, PLK2, PLK3",Cell cycle,"PLK1, PLK2, PLK3",11364421,GDSC2,45,SANGER,495,nd
BIBR-1532,140,NA,NA,NA,2043,BIBR-1532,NA,TERT,Genome integrity,TERT,9927531,GDSC2,750,SANGER,495,nd
BIBW2992,141,NA,NA,NA,1032,Afatinib,"BIBW2992, Tovok, Gilotrif","ERBB2, EGFR",EGFR signaling,"ERBB2, EGFR",10184653,GDSC2,807,SANGER,495,nd
bid1870,143,"ribosomal protein S6 kinase, 90kDa, polypeptide 6;ribosomal protein S6 kinase, 90kDa, polypeptide 1;ribosomal protein S6 kinase, 90kDa, polypeptide 2",Q9UK32;Q15418;Q15349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BIRB 0796,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BIX-01294,146,euchromatic histone-lysine N-methyltransferase 2;euchromatic histone-lysine N-methyltransferase 1,Q96KQ7;Q9H9B1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BIX02189,147,NA,NA,NA,279,BIX02189,BIX 02189,"MEK5, ERK5",ERK MAPK signaling,"MEK5, ERK5",46931012,GDSC1,918,MGH,495,nd
blebbistatin,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BMS-195614,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BMS-270394,151,Retinoic acid receptor gamma,P13631,Nuclear hormone receptor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BMS-345541,152,Inhibitor of nuclear factor kappa-B kinase,Q14164,Kinase,1249,BMS-345541,NA,"IKK-1, IKK-2",Other,"IKK-1, IKK-2",9926054,GDSC2,729,SANGER,495,nd
BMS-509744,153,Interleukin-2-inducible T cell kinase,NA,NA,63,BMS-509744,"KIN001-127, ITK inhibitor",ITK,"Other, kinases",ITK,20635522,GDSC1,401,MGH,495,nd
BMS-536924,154,Vascular endothelial growth factor receptor 2;RAC serine/threonine-protein kinase;mRNA of HER2;Mitogen-activated protein kinase 1;Lck tyrosine kinase;Cell division protein kinase 2;Alpha platelet-derived growth factor receptor;Insulin-like growth factor I receptor;Hepatocyte growth factor receptor;Beta platelet-derived growth factor receptor;Focal adhesion kinase;Cytochrome P450 3A4;G1/S-specific cyclin E1,P35968;P31749;P04626;P28482;P06239;P24941;P16234;P08069;P08581;P09619;Q05397;P08684;P24864,Kinase,1091,BMS-536924,BMS 536924,"IGF1R, IR",IGF1R signaling,"IGF1R, IR",10390396,GDSC2,753,SANGER,495,nd
BMS-708163,155,Gamma-secretase,Q96BI3||Q8WW43||Q9NZ42||Q92542||P49768,NA,1072,Avagacestat,"BMS-708163, BMS 708163","Amyloid beta20, Amyloid beta40",Other,"Amyloid beta20, Amyloid beta40",46883536,GDSC1,943,SANGER,495,nd
brefeldin A,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
BX-795,162,Vascular endothelial growth factor receptor 2;Glycogen synthase kinase-3 beta;Cell division protein kinase 2;3-phosphoinositide dependent protein kinase-1;Serine/threonine-protein kinase Chk1;Protein kinase A,P35968;P49841;P24941;O15530;O14757;Q56921,Kinase,1037,BX795,BX-795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases","TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC",10077147,GDSC1,948,SANGER,495,nd
BYL-719,164,PI3K alpha,P42336,Kinase,1560,Alpelisib,"BYL719, BYL-719, NVP-BYL719",PI3Kalpha,PI3K/MTOR signaling,PI3K,56649450,GDSC2,805,SANGER,495,nd
C6-ceramide,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CAL-101,167,NA,NA,NA,238,Idelalisib,"CAL-101, Zydelig",PI3Kdelta,PI3K/MTOR signaling,PI3K,11625818,GDSC1,921,MGH,495,nd
CAY10576,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CAY10594,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CAY10603,172,NA,NA,NA,276,CAY10603,NA,"HDAC1, HDAC6",Chromatin histone acetylation,"HDAC1, HDAC6",24951314,GDSC1,910,MGH,495,nd
CAY10618,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CBB-1007,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CCT007093,175,NA,NA,NA,1067,CCT007093,NA,PPM1D,Cell cycle,PPM1D,2314623,GDSC1,938,SANGER,495,nd
CCT018159,176,Heat shock protein HSP90,NA,NA,1170,CCT-018159,"CCT018159, CCT 018159",HSP90,Protein stability and degradation,HSP90,5327091,GDSC1,936,SANGER,495,nd
CCT036477,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CD-1530,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CD-437,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CEP-701,180,NA,NA,NA,1024,Lestaurtinib,"CEP-701, SP-924, SPM-924, A-154475, KT-555","FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases","FLT3, JAK2, NTRK1, NTRK2, NTRK3",126565,GDSC1,945,SANGER,495,nd
ceranib-2,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Cerulenin,11,Fatty acid synthase,P49327,Acyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Cetuximab,182,Epidermal growth factor receptor,P00533,Kinase,1114,Cetuximab,"Erbitux, IMC-C225, C225, IMC-225, L01XC06",EGFR,EGFR signaling,EGFR,85668777,GDSC1,875,SANGER,495,nd
CGP-082996,185,NA,NA,NA,54,CGP-082996,"CINK4, KIN001-021",CDK4,Cell cycle,CDK4,24825971,GDSC1,400,MGH,495,nd
CGP-60474,186,Cell division control protein 2 homolog,P06493,Kinase,53,CGP-60474,"KIN001-019, CGP60474, CGP 60474","CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",644215,GDSC1,400,MGH,495,nd
Ch-55,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CH5424802,188,NA,NA,NA,281,Alectinib,"CH5424802, CH 542802, Alecensa",ALK,RTK signaling,ALK,49806720,GDSC1,918,MGH,495,nd
CHEMBL1222381,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CHEMBL374350,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CHIR-99021,191,Mitogen-activated protein kinase 1;Glycogen synthase kinase-3 beta;Cell division control protein 2 homolog;mRNA of human glycogen synthase kinase 3 alpha,P28482;P49841;P06493;P49840,Kinase,1241,CHIR-99021,"CT 99021, CHIR99021, CHIR 99021","GSK3A, GSK3B",WNT signaling,"GSK3A, GSK3B",9956119,GDSC1,913,SANGER,495,nd
CHM-1,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CI-1040,193,"RAC serine/threonine-protein kinase;Mitogen-activated protein kinase 14;Mitogen-activated protein kinase 1;Protein kinase C, alpha type;Lck tyrosine kinase;Glycogen synthase kinase-3 beta;Mitogen-activated protein kinase 8;Ribosomal protein S6 kinase;MAP kinase p38;Mitogen-activated protein kinase 11;Rho-associated protein kinase 1;Serine/threonine-protein kinase Sgk1;Serine/threonine-protein kinase Chk1",P31749;Q16539;P28482;P17252;P06239;P49841;P45983;P23443;P53778;Q15759;Q13464;O00141;O14757,Kinase,1015,CI-1040,"CI 1040, PD-18435, PD-184352, 212631-79-3","MEK1, MEK2",ERK MAPK signaling,"MEK1, MEK2",6918454,GDSC1,932,SANGER,495,nd
CI-976,194,Liver carboxylesterase,P23141,Carboxylic ester hydrolase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ciclopirox,13,HIF prolyl hydroxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ciclosporin,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CID-5951923,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CIL41,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CIL55,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CIL55A,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CIL56,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CIL70,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
cimetidine,15,Histamine H2 receptor,P25021,GPCR rhodopsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CMK,201,NA,NA,NA,64,CMK,KIN001-128,RSK2,"Other, kinases",RSK2,16663089,GDSC1,400,MGH,495,nd
COL-3,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Compound 1541A,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
compound 1B,204,Cathepsin K;Neutral endopeptidase;Carboxypeptidase A1 (pancreatic);cathepsin H,P43235;P08473;P15085;P09668,Peptidase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Compound 23 citrate,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Compound 7d-cis,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CP466722,207,NA,NA,NA,152,CP466722,"CP-466722, CP 466722, 1080622-86-1",ATM,Genome integrity,ATM,44551660,GDSC1,922,MGH,495,nd
CR-1-31B,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
cucurbitacin I,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Curcumin,214,"Prostaglandin G/H synthase 2;Prostaglandin G/H synthase 1;MMP-9;Xanthine dehydrogenase/oxidase;Carbonic anhydrase IX;Collagenase 3;Carbonic anhydrase I;Nitric oxide synthase, inducible;Amyloid beta A4 protein;Carbonic anhydrase IV;Cytochrome P450 3A4;Carbonic anhydrase II;Carbonic anhydrase XII;DNA (cytosine-5)-methyltransferase 3B;Carbonic anhydrase XIV;Carbonic anhydrase VI;DNA (cytosine-5)-methyltransferase;Carbonic anhydrase;Multidrug resistance protein",P35354;P23219;P14780;P47989;Q16790;P45452;P00915;P35228;P05067;P22748;P08684;P00918;O43570;Q9UBC3;Q9ULX7;P23280,Oxidoreductases acting on paired donors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
CX-5461,215,NA,NA,NA,300,CX-5461,"CX5461, CX 5461",RNA Polymerase 1,Other,RNA Polymerase 1,25257557,GDSC1,913,MGH,495,nd
cyanoquinoline 11,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
cytochalasin b,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
darinaparsin,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
DBeQ,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
decitabine,223,Human DNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
DMOG,227,NA,NA,NA,165,DMOG,Dimethyloxalylglcine,HIF-PH,Metabolism,HIF-PH,560326,GDSC1,884,MGH,495,nd
EHT 1864,230,NA,NA,NA,1069,EHT-1864,EHT 1864,"RAC1, RAC2, RAC3",Cytoskeleton,"RAC1, RAC2, RAC3",9938202,GDSC1,943,SANGER,495,nd
EKB-569,231,NA,NA,NA,282,Pelitinib,"EKB-569, EKB 569",EGFR,EGFR signaling,EGFR,6445562,GDSC1,920,MGH,495,nd
ELCPK,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Elesclomol,233,NA,NA,NA,1031,Elesclomol,STA-4783,HSP90,Protein stability and degradation,HSP90,300471,GDSC1,936,SANGER,495,nd
elocalcitol,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
embelin,235,mRNA of Inhibitor of apoptosis protein,P98170,Target of antisense drug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
epigallocatechin-3-monogallate,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
erismodegib,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
etomoxir,243,Carnitine O-palmitoyltransferase I,Q92523,Acyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
etoposide,25,DNA topoisomerase II,NA,ATP-hydrolyzing DNA topoisomerase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ETP-46464,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
EX-527,246,NA,NA,NA,341,Selisistat,"EX-527, EX 527",SIRT1,Chromatin histone acetylation,SIRT1,5113032,GDSC1,916,MGH,495,nd
FGIN-1-27,248,Peripheral-type benzodiazepine receptor,P30536,Cholesterol porphyrin uptake translocator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
FH535,249,NA,NA,NA,173,FH535,NA,"PPARgamma, PPARdelta","Other, kinases","PPARgamma, PPARdelta",3463933,GDSC1,876,MGH,495,nd
FK866,250,NA,NA,NA,1248,Daporinad,"APO866,  FK866, FK866",NAMPT,Metabolism,NAMPT,6914657,GDSC2,382,SANGER,495,nd
fluvastatin,27,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035,Short-chain dehydrogenases reductases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
FMK,251,Caspase-9;Interleukin-1 beta convertase,P55211;P29466,Peptidase,231,FMK,KIN001-242,RSK,"Other, kinases",RSK,none,GDSC1,792,MGH,495,nd
FQI-1,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
FQI-2,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
FR-180204,255,Mitogen-activated protein kinase 1,P28482,Kinase,263,FR-180204,"FR 180204, FR180204, ERK Inhibitor II","ERK1, ERK2",ERK MAPK signaling,"ERK1, ERK2",11493598,GDSC1,919,MGH,495,nd
FSC231,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
FTI-277,258,NA,NA,NA,166,FTI-277,NA,Farnesyl-transferase (FNTA),Other,Farnesyl-transferase (FNTA),3005532,GDSC1,888,MGH,495,nd
Fumonisin B1,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
GANT-61,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
GDC-0449,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
GDC-0879,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
GDC-0941,264,Phosphoinositide 3 kinase,P48736,Kinase,1058,Pictilisib,"GDC-0941, GDC0941, RG-7621",PI3K (class 1),PI3K/MTOR signaling,PI3K,17755052,GDSC2,767,SANGER,495,nd
Genentech Cpd 10,267,NA,NA,NA,225,Genentech Cpd 10,NA,"AURKA, AURKB",Mitosis,"AURKA, AURKB",none,GDSC1,919,MGH,495,nd
GMX-1778,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
GNF-2,270,NA,NA,NA,52,GNF-2,KIN001-013,BCR-ABL,ABL signaling,BCR-ABL,5311510,GDSC1,398,MGH,495,nd
gossypol,271,Apoptosis regulator Bcl-2,P10415,Bcl-2 family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
GSK-3 inhibitor IX,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
GSK-650394,274,Serine/threonine-protein kinase Sgk1,O00141,Kinase,177,GSK650394,"GSK-650394, GSK 650394","SGK2, SGK3","Other, kinases","SGK2, SGK3",25022668,GDSC1,872,MGH,495,nd
GSK1059615,276,Phosphoinositide 3 kinase,P48736,Kinase,374,GSK1059615,NA,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,PI3K,NA,GDSC1,912,MGH,495,nd
GSK1120212,279,NA,NA,NA,1372,Trametinib,"GSK1120212, Mekinist","MEK1, MEK2",ERK MAPK signaling,"MEK1, MEK2",11707110,GDSC2,772,SANGER,495,nd
GSK2126458,282,Phosphoinositide 3 kinase,P48736,Kinase,283,Omipalisib,"GSK2126458, GSK-2126458, EX-8678, GSK458","PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,PI3K,25167777,GDSC1,921,MGH,495,nd
GSK4112,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
GSK429286A,287,NA,NA,NA,230,GSK429286A,NA,"ROCK1, ROCK2",Cytoskeleton,"ROCK1, ROCK2",11373846,GDSC1,920,MGH,495,nd
GSK461364,288,Serine/threonine-protein kinase PLK1,P53350,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
GSK525762A,289,NA,NA,NA,1624,I-BET-762,GSK525762A,"BRD2, BRD3, BRD4",Chromatin other,"BRD2, BRD3, BRD4",46943432,GDSC2,728,SANGER,495,nd
GW-2580,292,mRNA of Colony stimulating factor-1 receptor,P07333,Target of antisense drug,193,GW-2580,"GX2580, CFMS receptor tyrosine kinase inhibitor",CSF1R,RTK signaling,CSF1R,11617559,GDSC1,921,MGH,495,nd
GW-405833,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
GW 441756,294,NA,NA,NA,1023,GW441756,GW 441756,NTRK1,RTK signaling,NTRK1,9943465,GDSC1,946,SANGER,495,nd
GW843682X,295,NA,NA,NA,87,GW843682X,GW843682X (AN-13),PLK1,Cell cycle,PLK1,9826308,GDSC1,397,MGH,495,nd
HBX-41108,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
HC-067047,297,Transient receptor potential cation channel subfamily V member 4,Q9HBA0,Transient receptor family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
HG-5-113-01,298,NA,NA,NA,1142,HG-5-113-01,NA,"LOK, LTK, TRCB, ABL(T315I)",Other,"LOK, LTK, TRCB, ABL(T315I)",none,GDSC1,495,SANGER,495,nd
HG-5-88-01,299,NA,NA,NA,1143,HG-5-88-01,NA,"EGFR, ADCK4","Other, kinases","EGFR, ADCK4",none,GDSC1,494,SANGER,495,nd
HG-6-64-1,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
HLI 373,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
hyperforin,302,Prostaglandin G/H synthase 1;Arachidonate 5-lipoxygenase;Pregnane X receptor,P23219;P09917;O75469,Oxidoreductases acting on paired donors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
I-BET-762,303,NA,NA,NA,1624,I-BET-762,GSK525762A,"BRD2, BRD3, BRD4",Chromatin other,"BRD2, BRD3, BRD4",46943432,GDSC2,728,SANGER,495,nd
IC-87114,306,PI3K delta,O00329,Kinase,236,IC-87114,NA,PI3Kdelta,PI3K/MTOR signaling,PI3K,NA,GDSC1,920,MGH,495,nd
importazole,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
indisulam,310,Carbonic anhydrase IX,Q16790,Carbon-oxygen lyases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
